unique_values;counts
14;509
15;469
16;442
13;440
12;395
17;382
18;364
11;337
19;321
20;282
26;265
25;257
22;253
21;248
24;247
27;239
23;235
28;229
29;217
30;203
32;199
10;179
34;169
31;165
35;163
33;154
36;145
9;132
39;113
38;112
37;111
40;109
41;101
44;89
45;88
43;83
46;82
42;75
49;67
47;64
48;61
8;59
54;58
52;54
51;54
7;53
50;51
55;51
53;42
56;41
57;41
58;36
59;34
61;27
6;26
62;23
60;22
63;18
5;16
65;16
64;13
68;10
70;9
67;9
66;8
3;6
69;6
71;5
4;5
75;4
77;4
81;4
72;3
76;3
73;3
87;3
79;3
82;3
112;2
91;2
99;2
95;2
74;2
83;2
89;2
78;2
116;1
108;1
149;1
107;1
88;1
121;1
84;1
94;1
141;1
92;1
123;1
85;1
113;1
162;1
374;1
104;1
90;1
97;1
105;1
133;1
