unique_values;counts
24;501
23;499
25;489
26;465
27;456
28;444
22;425
21;420
29;413
32;411
31;408
30;381
34;369
20;365
36;356
19;347
33;344
35;339
37;322
18;318
38;307
17;262
39;261
41;258
16;240
40;231
42;230
44;198
43;187
15;182
45;175
47;165
46;153
48;149
49;140
14;123
50;120
13;118
53;113
52;113
51;112
54;98
56;97
55;85
57;82
11;80
12;79
61;79
58;74
63;70
59;69
60;68
62;65
10;57
65;56
64;54
66;49
67;48
69;44
9;40
70;40
75;36
68;33
8;31
76;30
71;30
72;28
78;27
83;26
73;26
80;25
81;24
89;23
88;22
79;22
90;22
74;22
85;20
7;19
87;19
77;19
91;18
96;17
102;17
5;17
93;16
84;16
82;15
95;15
86;15
94;14
97;14
99;14
92;14
98;13
107;12
113;11
6;11
110;11
115;10
4;9
104;9
106;9
133;9
105;8
3;8
111;7
122;7
127;7
101;7
114;7
100;7
116;6
120;6
141;6
138;6
124;5
126;5
125;5
103;5
149;5
108;5
160;5
128;4
134;4
121;4
117;4
130;4
139;4
118;4
109;4
148;4
119;4
132;3
144;3
145;3
191;3
157;3
168;3
155;3
129;3
154;3
151;3
175;3
140;3
204;2
192;2
131;2
153;2
185;2
136;2
161;2
174;2
190;2
182;2
142;2
137;2
164;2
159;2
212;2
184;2
123;2
177;2
197;2
269;1
317;1
1050;1
211;1
1172;1
206;1
167;1
186;1
393;1
234;1
300;1
112;1
188;1
434;1
147;1
156;1
208;1
361;1
285;1
162;1
418;1
176;1
324;1
205;1
152;1
282;1
535;1
265;1
425;1
359;1
195;1
216;1
390;1
166;1
135;1
298;1
323;1
354;1
274;1
207;1
171;1
239;1
