unique_values;counts
25;74
20;72
24;66
22;59
29;57
23;57
21;56
28;53
33;52
18;51
19;50
32;49
26;48
17;45
15;43
27;42
30;40
34;38
16;38
14;37
31;33
35;32
40;30
39;29
38;28
37;27
36;26
44;26
41;26
12;25
13;23
46;19
42;19
47;14
43;12
50;11
45;11
58;11
52;10
49;10
54;9
11;8
48;8
8;8
56;7
51;6
57;6
61;6
55;5
9;4
63;3
53;3
59;3
64;3
69;2
82;2
91;2
77;2
10;2
75;2
7;2
66;2
71;2
72;2
65;1
119;1
95;1
296;1
81;1
80;1
140;1
154;1
62;1
70;1
141;1
88;1
111;1
97;1
5;1
130;1
145;1
92;1
171;1
305;1
112;1
102;1
149;1
86;1
93;1
60;1
108;1
68;1
132;1
163;1
96;1
167;1
