unique_values;counts
26;177
22;175
25;171
21;167
23;163
27;162
20;161
28;156
24;153
30;148
18;146
33;145
19;143
32;137
31;136
29;129
17;128
14;125
34;125
35;123
16;123
15;120
37;120
38;118
36;113
40;109
41;104
39;102
42;92
13;91
12;90
43;89
45;73
44;72
46;70
11;67
47;60
52;59
48;58
51;57
8;56
9;53
54;51
55;50
10;50
49;45
50;42
53;42
58;40
57;33
62;30
7;30
59;30
63;29
56;27
61;26
64;25
60;19
68;18
69;18
75;18
67;14
76;12
70;12
66;12
74;10
5;10
81;10
65;9
72;9
77;9
73;9
6;9
71;8
78;7
4;6
83;6
82;5
79;4
101;3
80;3
86;3
121;2
140;2
103;2
105;2
128;2
92;2
98;2
189;1
115;1
146;1
154;1
3;1
119;1
97;1
106;1
99;1
93;1
88;1
102;1
132;1
184;1
125;1
138;1
85;1
122;1
144;1
241;1
129;1
90;1
