unique_values;counts
20;60
25;55
19;54
27;54
22;53
18;52
21;52
24;51
17;50
30;49
31;48
23;45
26;43
28;42
29;40
16;40
33;40
42;36
13;35
14;33
32;30
15;29
46;29
38;29
44;27
35;27
37;26
40;26
12;23
43;22
36;22
47;21
39;21
45;21
51;20
49;20
34;20
56;19
70;19
41;18
54;16
66;16
50;16
48;16
10;15
58;14
57;14
84;14
63;13
52;13
55;13
68;12
80;12
86;12
59;12
81;11
69;11
67;11
53;11
74;11
88;11
73;11
93;10
97;10
82;10
83;10
89;10
85;10
61;10
11;10
62;10
94;10
76;9
122;9
127;9
60;9
75;9
71;9
79;8
129;8
7;8
77;8
100;8
102;8
96;7
90;7
78;7
64;7
103;7
107;7
111;7
104;7
87;6
161;6
99;6
124;6
95;6
115;6
65;6
155;6
143;5
141;5
91;5
118;5
114;5
131;4
135;4
126;4
137;4
110;4
108;4
8;4
72;4
119;4
133;4
101;4
152;4
98;4
106;4
149;4
156;4
148;3
128;3
144;3
123;3
150;3
109;3
173;3
6;3
192;3
130;3
139;3
175;3
5;3
125;3
172;3
120;3
105;3
171;3
117;3
136;3
179;3
116;3
159;3
112;2
206;2
163;2
174;2
170;2
196;2
446;2
185;2
140;2
145;2
251;2
267;2
142;2
235;2
177;2
278;2
183;2
240;2
151;2
224;2
134;2
302;2
237;2
200;2
158;2
241;1
494;1
205;1
682;1
340;1
198;1
1216;1
160;1
219;1
209;1
275;1
113;1
146;1
166;1
282;1
289;1
324;1
201;1
236;1
647;1
92;1
265;1
269;1
459;1
266;1
181;1
195;1
293;1
695;1
228;1
260;1
234;1
809;1
246;1
254;1
184;1
147;1
398;1
352;1
427;1
242;1
221;1
262;1
208;1
648;1
258;1
222;1
306;1
263;1
216;1
194;1
193;1
280;1
215;1
214;1
399;1
588;1
327;1
154;1
416;1
413;1
178;1
9;1
165;1
249;1
164;1
202;1
153;1
168;1
180;1
230;1
357;1
188;1
798;1
615;1
138;1
