unique_values;counts
30;30
32;29
29;27
26;27
22;26
25;26
27;26
20;24
33;23
24;22
28;22
37;21
21;19
23;19
19;19
40;19
35;19
34;18
42;18
18;18
41;18
36;18
39;17
38;16
56;14
46;14
15;13
31;13
17;12
16;12
45;10
13;9
43;9
14;9
57;8
44;8
12;8
49;8
47;8
53;7
55;7
7;7
62;6
60;6
52;6
6;6
9;5
54;5
4;4
63;4
68;4
51;4
50;4
77;3
67;3
66;3
10;3
73;3
72;3
11;3
61;3
64;3
5;3
81;2
80;2
99;2
48;2
82;2
74;2
92;2
8;2
71;1
3;1
85;1
59;1
136;1
100;1
152;1
75;1
291;1
131;1
65;1
58;1
101;1
86;1
87;1
97;1
69;1
78;1
70;1
94;1
76;1
96;1
132;1
93;1
91;1
