unique_values;counts
24;3782
29;3769
23;3760
25;3740
26;3699
27;3695
28;3588
22;3584
21;3554
20;3469
30;3422
31;3393
32;3246
19;3232
33;3127
18;3072
34;2972
35;2789
17;2729
36;2688
37;2583
16;2473
38;2352
39;2249
40;2176
15;2029
41;1992
42;1855
14;1778
43;1673
44;1624
45;1522
13;1497
46;1376
47;1340
48;1213
12;1198
49;1129
50;1056
52;970
51;966
11;867
53;846
54;820
55;737
10;686
56;650
57;601
58;577
59;490
60;469
9;468
61;436
62;369
63;355
64;346
65;297
66;277
8;268
68;254
67;241
69;234
70;229
71;209
7;192
72;192
73;163
74;162
76;147
75;129
6;124
79;123
77;122
82;109
78;95
83;94
81;88
80;85
87;82
85;71
86;65
84;62
5;55
91;54
90;51
89;51
95;47
4;47
92;44
93;39
94;39
99;36
100;35
96;34
104;32
88;31
101;29
108;27
97;27
98;27
102;25
103;24
110;23
113;22
105;22
106;22
107;21
109;20
115;20
118;18
121;17
119;17
117;17
122;14
127;13
123;13
111;13
114;13
125;12
112;12
131;11
116;10
124;10
130;9
144;8
136;8
3;8
145;8
138;8
141;8
135;8
134;8
126;7
129;7
152;6
154;6
120;6
158;6
139;6
128;6
133;5
132;5
143;5
176;5
153;4
185;4
174;4
150;4
137;4
140;4
142;4
146;4
155;4
162;3
184;3
148;3
164;3
171;3
156;3
151;3
177;3
198;2
147;2
167;2
175;2
222;2
149;2
189;2
159;2
197;2
170;2
245;2
231;2
157;2
186;2
443;1
238;1
437;1
243;1
302;1
274;1
265;1
210;1
314;1
291;1
287;1
429;1
367;1
327;1
221;1
239;1
196;1
224;1
216;1
188;1
207;1
183;1
259;1
530;1
280;1
388;1
195;1
187;1
323;1
458;1
194;1
209;1
214;1
230;1
179;1
307;1
284;1
283;1
218;1
182;1
332;1
252;1
204;1
285;1
240;1
339;1
342;1
168;1
254;1
180;1
249;1
392;1
161;1
294;1
160;1
268;1
293;1
166;1
414;1
308;1
225;1
393;1
277;1
172;1
181;1
