unique_values;counts
29;12683
27;12524
28;12520
30;12433
26;12324
31;12312
32;12054
33;11900
25;11886
24;11478
34;11320
23;11163
35;11129
36;10587
22;10208
37;9907
21;9839
38;9506
20;9204
39;8778
40;8438
19;8181
41;7804
42;7383
18;7288
43;6756
17;6405
44;6187
45;5785
46;5583
16;5406
47;5125
48;4623
15;4389
49;4310
50;4014
51;3694
52;3453
14;3240
53;3212
54;3027
55;2776
56;2599
13;2541
57;2399
58;2186
59;2108
60;2011
12;1868
61;1793
62;1667
63;1562
64;1492
11;1450
65;1373
66;1286
68;1158
67;1146
69;982
70;961
10;921
71;895
72;841
73;767
76;745
74;729
9;705
75;700
77;621
78;599
79;590
81;543
80;542
82;526
83;474
84;446
85;444
87;411
86;407
8;395
89;374
90;360
91;354
88;353
93;344
92;300
95;278
94;271
98;269
96;261
7;250
97;246
99;219
102;212
101;203
6;199
109;198
106;196
100;196
103;183
105;182
104;174
107;168
108;161
114;147
112;147
110;142
111;141
113;139
126;133
115;128
119;126
121;126
116;126
117;125
120;124
118;118
122;113
5;109
123;108
125;106
128;100
124;99
130;98
127;93
142;92
135;87
134;86
139;86
138;85
136;84
131;84
129;84
133;82
141;79
132;79
147;78
156;76
137;74
140;71
144;70
151;69
145;67
153;65
146;65
149;64
143;63
152;61
166;60
150;59
162;59
154;57
148;57
157;55
155;55
160;55
159;55
175;54
4;54
172;53
168;53
163;51
158;50
161;50
169;49
171;49
167;47
170;45
165;44
176;43
178;42
180;42
187;41
173;39
181;39
188;37
192;37
177;37
164;36
174;35
183;35
185;35
189;35
182;34
213;34
198;34
190;34
210;33
194;33
184;32
195;32
179;31
220;31
216;30
203;29
208;29
193;29
186;29
206;29
199;28
3;28
201;28
204;27
236;26
215;26
191;26
222;25
202;24
200;24
218;24
197;23
239;23
211;23
196;23
212;22
207;21
209;21
233;21
214;20
221;20
226;20
205;20
242;19
237;19
217;19
234;19
227;18
231;18
250;17
224;17
248;17
241;17
219;17
223;17
225;17
243;16
244;16
228;15
235;15
229;15
253;15
274;15
246;15
263;15
277;14
252;14
230;14
279;13
240;13
256;13
269;12
267;12
287;12
295;11
255;11
264;11
271;11
288;11
275;11
238;11
249;11
259;10
260;10
303;10
292;10
247;10
254;10
266;10
265;9
293;9
273;9
245;9
261;9
294;9
314;8
278;8
272;8
297;8
289;8
257;8
321;8
291;8
285;8
284;8
251;8
276;8
301;7
335;7
262;7
347;7
322;7
353;7
283;7
328;6
258;6
268;6
325;6
360;6
296;6
281;6
302;6
345;6
317;6
327;6
306;6
316;6
312;6
290;6
300;6
307;6
329;6
286;6
232;6
392;5
323;5
337;5
334;5
309;5
311;5
350;5
342;5
375;5
363;5
282;5
348;5
326;5
355;5
367;5
343;5
299;5
333;4
366;4
517;4
305;4
356;4
320;4
324;4
315;4
338;4
308;4
270;4
330;4
339;4
344;4
417;3
331;3
357;3
318;3
313;3
364;3
310;3
481;3
381;3
382;3
2;3
394;3
548;3
396;3
280;3
373;3
369;3
380;3
398;3
472;3
402;3
377;3
419;3
448;2
615;2
340;2
383;2
591;2
438;2
368;2
446;2
400;2
387;2
659;2
362;2
349;2
332;2
507;2
426;2
406;2
497;2
460;2
403;2
351;2
391;2
411;2
444;2
440;2
499;2
662;2
405;2
565;2
470;2
455;2
304;2
359;2
298;2
515;2
413;1
365;1
471;1
564;1
487;1
346;1
376;1
407;1
479;1
505;1
431;1
585;1
504;1
388;1
570;1
543;1
336;1
890;1
408;1
532;1
501;1
587;1
435;1
432;1
1875;1
498;1
809;1
623;1
26087;1
370;1
579;1
594;1
735;1
463;1
726;1
1;1
599;1
550;1
649;1
468;1
427;1
494;1
469;1
533;1
378;1
716;1
512;1
453;1
395;1
389;1
804;1
433;1
1064;1
445;1
582;1
706;1
524;1
987;1
1118;1
399;1
714;1
772;1
694;1
397;1
2126;1
554;1
2152;1
518;1
1284;1
425;1
863;1
341;1
529;1
1978;1
773;1
1698;1
577;1
410;1
352;1
2578;1
456;1
502;1
2237;1
461;1
557;1
1768;1
538;1
3973;1
597;1
371;1
2307;1
319;1
2952;1
1209;1
3605;1
541;1
2411;1
421;1
519;1
1294;1
2361;1
1329;1
443;1
1587;1
482;1
428;1
358;1
1476;1
484;1
545;1
1083;1
412;1
1197;1
1071;1
560;1
1358;1
393;1
2509;1
483;1
354;1
996;1
416;1
11649;1
2275;1
910;1
485;1
386;1
534;1
613;1
379;1
