unique_values;counts
28;40
22;35
30;35
32;32
39;31
34;30
31;29
24;28
38;27
26;27
41;26
35;25
33;25
40;23
27;23
42;22
25;21
44;21
21;21
29;21
37;21
36;19
23;19
19;17
18;16
20;15
58;15
49;15
43;15
47;14
15;13
45;12
17;12
16;12
54;12
55;11
51;11
56;10
53;9
66;9
46;9
59;8
50;8
62;8
14;8
52;8
65;7
68;7
64;6
60;6
69;6
63;6
61;5
78;5
76;5
72;5
57;5
70;4
48;4
75;3
71;3
86;3
79;3
11;3
77;3
13;3
12;3
74;3
102;2
73;2
80;2
89;2
7;2
88;2
82;2
91;2
95;2
100;1
104;1
85;1
328;1
113;1
110;1
83;1
115;1
10;1
94;1
90;1
133;1
106;1
111;1
81;1
98;1
