unique_values;counts
28;932
26;924
24;881
23;866
27;863
29;858
30;845
22;838
25;811
21;775
31;769
20;746
34;743
32;726
33;721
19;717
36;707
18;698
35;659
37;632
17;618
38;597
39;565
40;537
16;523
41;513
15;499
42;444
44;437
14;426
43;395
45;381
46;357
47;338
13;316
12;286
48;275
50;265
49;245
51;220
53;210
11;209
54;204
52;201
55;199
56;173
57;167
59;150
58;150
10;147
60;145
61;122
62;106
9;105
67;90
65;89
63;88
8;87
64;81
66;76
7;66
72;64
69;63
6;61
68;59
70;59
73;49
71;46
76;44
75;41
79;38
77;37
80;33
74;33
81;32
78;31
82;30
5;30
84;23
94;22
86;20
96;19
91;19
83;18
97;17
4;17
98;17
85;15
92;15
93;15
87;14
104;13
108;13
102;12
89;11
88;11
103;11
105;10
99;10
90;9
101;9
3;8
113;8
100;8
115;8
109;7
107;7
110;7
133;6
150;6
123;6
122;6
119;6
118;6
95;6
117;6
132;5
125;5
111;5
112;5
129;4
130;4
131;4
106;4
152;4
114;4
143;4
147;3
185;3
168;3
128;3
190;3
121;3
135;3
154;3
192;3
173;3
171;3
239;2
120;2
157;2
184;2
127;2
236;2
177;2
141;2
145;2
146;2
216;2
142;2
116;2
126;2
138;2
140;2
169;2
166;2
175;2
183;2
215;1
124;1
244;1
213;1
136;1
155;1
271;1
188;1
134;1
197;1
230;1
186;1
202;1
165;1
161;1
234;1
278;1
326;1
151;1
144;1
179;1
167;1
180;1
246;1
160;1
170;1
195;1
158;1
219;1
189;1
226;1
233;1
362;1
228;1
264;1
211;1
199;1
218;1
224;1
231;1
172;1
267;1
148;1
294;1
149;1
156;1
241;1
