unique_values;counts
20;283
18;279
19;263
16;251
21;238
17;233
22;215
14;212
15;209
23;208
24;186
26;182
12;180
13;160
25;159
11;158
27;153
10;141
28;124
29;119
32;106
30;97
9;91
31;80
33;79
35;71
34;67
36;66
8;64
39;52
37;49
38;44
7;35
40;35
44;25
45;23
42;22
46;22
41;21
6;21
5;18
47;18
43;18
50;16
53;14
54;14
48;13
51;11
49;10
59;10
57;10
62;9
52;8
65;7
61;7
64;6
55;6
60;5
63;5
58;5
66;4
74;3
70;3
56;3
71;3
77;2
92;2
68;2
69;2
96;2
73;2
67;2
82;2
155;1
78;1
151;1
86;1
79;1
84;1
81;1
149;1
72;1
93;1
104;1
103;1
122;1
