unique_values;counts
27;33603
25;33561
26;33433
28;32937
24;32725
29;32113
23;31583
30;31110
22;30186
31;29769
21;28555
32;28135
33;27051
20;26512
34;25099
19;25071
35;23449
18;22230
36;21950
37;20378
17;19688
38;18921
39;17654
16;17228
40;16137
41;15086
15;14416
42;13824
43;12590
14;11798
44;11264
45;10402
46;9324
13;9297
47;8523
48;7943
49;7296
12;6825
50;6626
51;6059
52;5579
11;5321
53;5222
54;4759
55;4231
56;3939
57;3652
10;3408
58;3360
59;3087
60;2867
61;2608
62;2452
63;2238
9;2200
64;2109
65;1942
66;1865
67;1692
68;1582
69;1471
70;1357
71;1356
72;1267
8;1225
73;1107
74;1038
75;1031
76;977
77;877
78;859
79;814
81;760
80;718
83;676
82;661
7;620
84;589
86;583
85;580
87;541
88;509
90;485
89;478
92;418
91;409
94;387
93;384
95;382
97;358
96;340
98;328
6;309
101;303
99;299
103;289
100;285
102;264
105;263
108;239
107;237
104;226
111;215
106;212
109;208
117;186
110;181
118;179
116;175
115;172
112;171
114;169
113;167
119;165
120;151
5;146
122;140
132;138
123;137
121;133
127;128
125;128
126;123
128;115
139;110
124;109
133;108
130;107
136;106
131;96
129;96
138;95
142;90
144;84
140;84
4;82
145;82
134;81
137;80
135;79
146;75
156;72
147;69
141;67
148;66
153;64
143;64
149;62
154;57
159;56
162;55
167;54
155;54
158;54
151;54
150;54
165;51
164;51
163;50
170;48
157;48
161;47
171;46
169;46
152;46
175;45
172;44
173;42
168;42
160;41
174;39
178;38
180;37
192;36
182;36
185;36
184;35
166;34
177;33
189;32
181;32
176;31
198;30
183;29
195;29
194;29
205;28
187;28
191;27
193;27
190;26
186;26
179;26
211;26
201;24
203;23
199;22
202;22
224;22
208;22
210;22
196;22
215;21
197;21
207;20
216;20
228;20
213;19
3;19
232;19
206;19
222;19
223;19
230;18
236;18
221;18
217;18
209;17
188;17
204;16
247;16
218;16
227;16
219;16
234;15
255;14
200;14
261;14
233;14
245;14
243;13
225;13
238;13
235;13
229;13
220;13
214;13
241;12
244;12
277;12
252;12
246;12
226;12
250;11
240;11
251;11
212;11
249;11
280;11
253;10
264;10
270;10
248;10
239;10
256;10
268;9
265;9
231;9
259;9
275;9
257;9
285;9
304;8
284;8
287;8
309;8
294;8
300;8
262;8
272;7
327;7
242;7
290;7
299;7
302;7
289;7
306;7
278;7
330;7
271;7
283;7
318;7
237;7
266;7
260;7
333;7
258;7
317;6
279;6
339;6
288;6
331;6
286;6
269;6
292;6
274;6
303;6
351;6
325;6
293;6
282;6
263;6
323;6
267;6
281;6
373;5
383;5
347;5
332;5
350;5
311;5
312;5
376;5
368;5
401;5
276;5
320;5
380;5
313;5
335;5
308;5
310;5
386;5
341;5
367;5
297;4
412;4
305;4
396;4
273;4
354;4
301;4
316;4
349;4
417;4
298;4
337;4
295;4
340;4
352;4
363;4
334;4
291;4
377;3
329;3
434;3
319;3
398;3
361;3
254;3
343;3
382;3
515;3
451;3
415;3
416;3
418;3
397;3
326;3
374;3
336;3
357;3
315;3
2;3
403;3
432;3
371;3
364;3
314;3
503;3
496;2
549;2
381;2
476;2
440;2
431;2
530;2
826;2
572;2
571;2
422;2
296;2
390;2
544;2
409;2
517;2
519;2
388;2
478;2
524;2
449;2
372;2
324;2
348;2
516;2
436;2
471;2
408;2
406;2
365;2
307;2
463;2
321;2
489;2
423;2
439;2
473;2
414;2
342;2
426;2
389;2
531;2
413;2
369;2
353;2
606;2
338;2
399;2
554;2
457;2
362;2
466;1
555;1
15508;1
46845;1
475;1
657;1
514;1
557;1
818;1
370;1
446;1
545;1
360;1
693;1
765;1
651;1
447;1
667;1
497;1
468;1
375;1
628;1
717;1
411;1
706;1
453;1
472;1
464;1
592;1
384;1
445;1
385;1
837;1
638;1
454;1
455;1
753;1
647;1
705;1
552;1
601;1
435;1
591;1
486;1
568;1
590;1
366;1
623;1
506;1
429;1
482;1
420;1
495;1
485;1
461;1
825;1
405;1
609;1
715;1
737;1
462;1
481;1
493;1
614;1
456;1
649;1
583;1
629;1
359;1
880;1
328;1
483;1
669;1
787;1
344;1
581;1
355;1
421;1
828;1
424;1
576;1
523;1
617;1
722;1
490;1
433;1
700;1
356;1
425;1
558;1
712;1
520;1
430;1
542;1
499;1
585;1
811;1
660;1
438;1
790;1
796;1
637;1
477;1
528;1
465;1
404;1
407;1
527;1
561;1
589;1
459;1
575;1
701;1
718;1
501;1
391;1
394;1
547;1
795;1
750;1
479;1
419;1
598;1
