unique_values;counts
24;1646
23;1620
25;1587
22;1566
21;1554
20;1538
19;1441
26;1433
27;1358
18;1351
29;1309
17;1285
28;1270
16;1246
30;1231
15;1178
31;1162
32;1109
14;1094
33;1009
13;987
34;932
12;924
35;887
36;840
37;819
11;783
38;718
39;669
10;616
41;600
40;586
43;520
44;497
42;490
9;456
45;411
46;385
47;362
48;323
50;299
49;284
8;275
51;273
52;231
54;202
7;199
56;191
53;189
55;173
57;157
59;142
58;137
6;124
60;116
62;105
61;105
63;103
67;95
66;87
65;83
64;79
68;78
70;74
5;70
69;55
72;52
71;51
76;49
77;48
73;48
74;48
75;42
80;41
81;41
82;40
79;40
78;38
86;37
83;35
84;31
88;29
89;28
85;27
87;27
93;27
91;27
94;22
102;20
92;20
90;20
98;19
101;18
97;18
109;17
4;17
104;16
96;15
99;15
114;15
110;15
95;14
108;13
100;12
113;11
111;11
103;10
107;10
118;10
112;9
128;9
126;9
115;9
139;8
122;8
136;8
105;7
106;7
121;7
119;7
129;7
130;7
120;7
132;6
133;6
135;6
125;6
123;6
3;6
134;5
141;5
143;5
117;5
155;5
186;4
142;4
116;4
173;4
147;4
146;3
144;3
127;3
124;3
177;3
137;3
140;3
148;3
167;3
219;2
211;2
162;2
145;2
165;2
194;2
170;2
151;2
188;2
166;2
156;2
192;2
183;2
164;2
187;2
314;2
193;2
161;2
157;2
257;2
150;2
171;2
168;2
335;2
383;1
367;1
355;1
371;1
283;1
711;1
1186;1
360;1
184;1
375;1
202;1
262;1
275;1
433;1
368;1
224;1
175;1
190;1
217;1
249;1
297;1
207;1
254;1
456;1
2;1
316;1
338;1
327;1
392;1
422;1
504;1
447;1
231;1
350;1
185;1
301;1
197;1
159;1
358;1
131;1
182;1
152;1
232;1
280;1
833;1
158;1
180;1
345;1
307;1
394;1
149;1
196;1
453;1
241;1
153;1
138;1
172;1
337;1
267;1
282;1
266;1
242;1
428;1
195;1
210;1
203;1
199;1
174;1
318;1
286;1
181;1
214;1
