unique_values;counts
18;755
19;744
17;728
21;696
24;683
15;682
20;674
22;658
23;650
16;640
14;639
25;596
27;522
13;495
26;492
12;480
28;434
29;409
30;400
11;400
31;360
32;333
33;308
10;301
34;297
35;248
36;226
9;212
37;208
38;201
39;164
8;158
40;151
41;127
7;123
42;118
44;115
43;108
47;88
45;85
6;80
46;75
50;72
48;66
49;50
53;46
51;45
5;45
54;41
52;38
59;33
55;33
4;31
56;29
57;28
61;24
58;24
64;19
63;18
68;16
60;16
73;14
71;14
70;13
78;13
62;12
90;11
69;10
72;10
65;10
3;10
66;9
76;9
82;7
91;7
79;7
80;6
84;6
85;6
67;6
75;5
96;5
81;5
87;4
110;4
77;4
94;4
88;4
74;4
109;4
119;3
114;3
108;3
103;3
97;3
102;3
140;3
155;3
95;3
83;3
104;3
117;3
101;3
118;3
105;3
99;2
93;2
156;2
168;2
152;2
111;2
166;2
113;2
127;2
106;2
86;2
131;2
130;2
137;2
159;1
195;1
145;1
194;1
128;1
325;1
169;1
149;1
135;1
138;1
150;1
162;1
167;1
120;1
182;1
126;1
230;1
165;1
176;1
279;1
186;1
200;1
181;1
164;1
107;1
116;1
124;1
180;1
171;1
100;1
160;1
173;1
144;1
115;1
123;1
92;1
170;1
122;1
209;1
177;1
153;1
141;1
134;1
136;1
139;1
2;1
193;1
89;1
172;1
