unique_values;counts
28;10741
27;10664
26;10579
30;10566
29;10437
25;10338
31;10247
24;10101
32;9986
23;9777
33;9605
22;9328
34;9321
35;9087
36;8780
21;8757
37;8364
20;8347
38;7795
19;7645
39;7462
18;6983
40;6962
41;6678
42;6559
43;6125
17;6060
44;5828
45;5554
16;5329
46;5276
47;4703
48;4503
15;4375
49;4245
50;4141
51;3819
14;3640
52;3614
53;3403
54;3140
55;2914
13;2776
56;2740
57;2671
58;2548
59;2373
60;2238
12;2109
61;2046
62;1868
63;1854
64;1740
65;1666
66;1663
11;1606
67;1505
68;1357
69;1299
71;1219
70;1192
10;1162
72;1128
73;1076
74;997
75;971
76;921
77;892
9;839
78;813
79;802
81;747
80;724
82;713
83;673
84;601
86;579
85;578
87;553
8;538
88;509
89;487
90;484
92;453
91;435
93;424
96;412
95;406
94;372
97;369
98;339
99;335
100;334
103;310
7;305
101;298
102;279
104;271
105;249
106;241
107;238
108;229
109;218
111;217
110;203
112;193
6;192
113;180
114;179
115;178
122;164
116;158
120;152
118;152
119;151
117;147
121;140
123;129
124;128
127;126
129;125
125;123
126;115
131;115
128;113
134;111
130;106
137;99
135;97
133;94
140;91
132;91
136;88
142;87
139;85
143;85
141;82
144;81
145;80
5;78
148;74
138;73
154;73
149;71
146;70
147;68
152;65
151;63
153;58
150;57
162;55
160;55
155;54
158;52
156;51
157;51
165;49
159;48
169;46
164;46
170;45
161;44
163;40
172;40
171;40
166;38
193;38
175;37
192;37
174;37
177;37
186;36
168;35
176;34
180;34
167;33
178;32
183;32
184;32
4;31
185;29
188;28
187;27
182;27
194;26
181;25
179;24
196;24
211;24
191;24
173;23
204;23
190;23
195;23
205;22
203;21
202;21
200;20
189;20
197;19
224;19
217;19
198;19
209;18
223;18
215;17
219;17
220;17
201;16
210;16
199;16
208;15
226;15
207;14
212;14
289;14
214;14
232;14
213;14
230;13
216;13
227;12
242;12
206;12
225;12
231;12
238;11
221;11
228;11
270;11
264;11
218;11
229;11
236;11
237;10
246;10
240;10
248;9
253;9
243;9
261;9
239;9
247;8
3;8
254;8
258;8
263;8
287;8
266;8
235;8
244;8
277;7
257;7
260;7
286;7
291;7
275;7
284;7
280;7
233;7
234;7
283;7
250;7
288;7
273;6
265;6
281;6
268;6
249;6
294;6
299;6
267;6
256;6
285;6
312;5
255;5
309;5
336;5
300;5
325;5
318;5
298;5
222;5
259;5
241;5
251;5
245;5
365;4
317;4
369;4
262;4
350;4
302;4
356;4
274;4
296;4
380;4
383;4
292;4
304;4
290;4
326;4
278;4
293;4
313;4
311;4
322;3
363;3
252;3
351;3
315;3
271;3
327;3
297;3
362;3
279;3
269;3
382;3
357;3
272;3
359;3
323;3
307;3
282;3
416;3
333;2
413;2
332;2
341;2
483;2
558;2
391;2
348;2
303;2
344;2
305;2
522;2
514;2
295;2
403;2
440;2
319;2
306;2
301;2
447;2
370;2
421;2
367;2
381;2
372;2
576;2
388;2
394;2
329;2
324;2
397;2
337;2
423;2
455;2
349;2
360;2
387;2
503;2
395;2
412;2
320;2
406;2
331;2
550;2
330;2
358;2
328;2
316;2
417;1
433;1
724;1
373;1
530;1
409;1
338;1
419;1
339;1
499;1
407;1
629;1
408;1
454;1
516;1
681;1
399;1
420;1
521;1
619;1
1473;1
501;1
571;1
473;1
436;1
446;1
481;1
456;1
547;1
771;1
738;1
345;1
443;1
347;1
430;1
355;1
541;1
384;1
427;1
464;1
582;1
377;1
498;1
509;1
343;1
553;1
474;1
505;1
508;1
500;1
531;1
402;1
615;1
425;1
477;1
378;1
426;1
379;1
605;1
488;1
494;1
398;1
441;1
1246;1
765;1
536;1
515;1
519;1
410;1
644;1
19571;1
392;1
623;1
876;1
371;1
589;1
548;1
374;1
321;1
475;1
386;1
612;1
727;1
603;1
334;1
1155;1
435;1
393;1
390;1
495;1
485;1
557;1
611;1
804;1
415;1
462;1
889;1
602;1
