unique_values;counts
19;117
27;117
25;115
24;113
20;112
21;112
18;106
23;106
22;105
28;101
26;96
30;91
29;84
31;77
35;72
33;70
17;68
32;68
16;61
36;60
34;58
39;56
14;56
37;56
38;51
15;51
41;50
40;48
42;46
13;45
43;42
44;35
47;30
46;27
45;25
49;25
12;24
50;24
51;22
53;20
52;20
11;19
48;19
56;16
55;15
62;14
61;12
7;12
67;12
54;12
63;12
58;11
8;10
9;10
60;9
64;9
57;8
59;7
65;6
70;6
71;6
10;6
69;5
66;5
98;5
76;5
86;4
100;4
72;4
68;4
78;4
6;4
75;4
74;3
73;3
90;3
84;3
92;3
93;3
94;3
85;3
82;3
89;2
87;2
137;2
5;2
79;2
106;2
95;2
80;2
88;2
111;2
83;2
81;2
3;1
132;1
131;1
160;1
96;1
142;1
112;1
114;1
208;1
77;1
102;1
119;1
252;1
126;1
99;1
103;1
122;1
170;1
326;1
97;1
152;1
105;1
133;1
488;1
108;1
91;1
186;1
