unique_values;counts
31;181
37;180
36;175
33;167
35;165
30;163
34;159
32;154
39;151
26;151
28;150
40;147
43;147
29;146
38;143
25;141
41;138
27;135
44;133
42;131
24;128
46;127
45;125
22;125
47;122
23;118
21;114
50;114
48;112
20;103
51;95
52;92
49;90
17;88
53;85
18;83
55;80
19;71
54;70
57;66
56;63
16;59
58;59
59;58
60;57
61;51
15;49
66;47
64;47
62;46
14;43
65;42
63;42
68;39
11;33
67;31
72;31
71;30
69;29
70;28
77;25
12;24
78;23
9;22
75;22
74;21
76;21
85;20
79;19
10;18
80;17
84;17
83;16
73;15
13;15
82;15
81;14
89;14
91;14
90;12
8;12
94;12
87;11
6;10
100;10
93;9
110;8
95;8
86;7
92;7
88;6
115;6
4;6
119;6
98;5
99;5
129;5
116;5
97;5
5;4
117;4
121;4
109;4
130;4
114;4
96;4
147;4
146;4
118;3
168;3
113;3
105;3
7;3
145;3
112;3
127;3
124;3
111;2
104;2
120;2
136;2
142;2
123;2
102;2
128;2
138;2
103;2
122;2
163;2
154;2
188;2
131;2
140;2
203;2
191;1
150;1
137;1
304;1
133;1
217;1
156;1
200;1
132;1
125;1
139;1
582;1
141;1
245;1
290;1
215;1
166;1
271;1
226;1
231;1
180;1
227;1
171;1
273;1
149;1
223;1
135;1
165;1
152;1
196;1
182;1
313;1
445;1
241;1
250;1
144;1
261;1
178;1
308;1
328;1
246;1
126;1
224;1
101;1
398;1
509;1
151;1
169;1
179;1
187;1
174;1
207;1
3;1
202;1
134;1
106;1
440;1
