unique_values;counts
25;66
31;55
27;55
28;53
26;52
22;49
36;48
32;45
35;45
29;45
38;43
20;42
23;42
39;42
30;41
40;41
41;39
24;39
42;38
33;38
34;34
37;33
21;29
19;29
44;28
46;27
61;26
47;25
45;25
48;25
56;25
55;23
50;23
52;22
18;21
51;21
64;20
53;20
60;20
62;20
49;19
65;19
43;19
67;18
17;18
58;17
54;17
15;16
57;15
66;15
16;15
69;14
59;14
84;13
68;13
72;12
63;12
80;12
74;11
71;11
14;11
13;9
77;8
83;8
70;8
79;8
78;8
75;7
87;7
76;7
89;6
96;6
97;5
95;5
73;5
82;5
11;5
93;4
88;4
85;4
91;4
125;4
94;4
12;4
98;4
9;3
117;3
106;3
86;3
92;3
102;3
110;3
107;2
101;2
120;2
138;2
90;2
105;2
134;2
99;2
10;2
8;2
112;2
143;2
115;2
151;1
177;1
104;1
119;1
175;1
109;1
141;1
130;1
132;1
100;1
108;1
259;1
127;1
124;1
178;1
171;1
210;1
314;1
136;1
103;1
111;1
81;1
219;1
172;1
114;1
162;1
192;1
200;1
243;1
321;1
197;1
218;1
169;1
139;1
4;1
