unique_values;counts
22;2007
20;1894
25;1834
21;1833
19;1831
23;1826
24;1784
26;1689
18;1684
27;1666
28;1568
17;1513
29;1452
30;1410
31;1324
16;1315
32;1227
15;1162
33;1155
34;1066
35;974
14;908
36;867
37;796
38;731
13;699
39;648
40;640
41;584
12;548
43;533
42;521
44;476
45;448
11;439
46;388
47;386
48;354
49;352
50;294
51;262
52;239
10;230
53;228
54;211
55;174
57;163
56;159
58;143
62;134
60;132
9;124
59;123
61;119
8;101
65;98
63;93
64;82
68;81
66;69
67;65
69;57
7;57
70;54
71;48
73;47
74;41
79;39
72;39
76;36
75;35
6;34
80;32
77;28
87;25
83;24
78;23
5;23
81;23
84;21
85;21
4;19
95;19
92;18
88;17
82;16
86;16
90;12
100;12
94;11
91;11
102;11
3;10
89;10
93;10
96;9
109;9
106;9
112;9
101;8
99;8
118;8
122;7
126;6
110;6
120;6
104;6
131;6
105;6
97;5
98;4
115;4
114;4
127;4
123;4
103;4
129;4
116;4
125;4
107;4
119;3
166;3
108;3
121;3
111;3
156;3
117;2
151;2
143;2
161;2
124;2
206;2
136;2
160;2
137;2
152;2
138;2
150;2
135;2
142;2
153;2
128;2
197;2
167;2
172;2
169;2
158;2
148;2
269;1
280;1
202;1
174;1
229;1
215;1
200;1
262;1
199;1
196;1
134;1
238;1
130;1
397;1
144;1
149;1
231;1
246;1
157;1
281;1
155;1
162;1
132;1
159;1
113;1
203;1
188;1
175;1
163;1
300;1
217;1
187;1
147;1
368;1
427;1
141;1
222;1
236;1
181;1
194;1
254;1
