unique_values;counts
28;518
33;492
27;487
29;482
31;478
30;477
32;470
38;456
25;452
26;445
24;445
34;439
35;425
37;418
23;418
36;404
40;404
41;387
21;373
22;368
44;362
43;357
19;357
39;356
17;349
42;348
20;345
18;307
47;286
45;278
16;277
46;272
48;248
15;242
50;226
49;224
51;204
14;199
13;183
53;183
52;180
54;162
12;158
55;152
58;147
56;145
57;131
61;121
11;108
59;106
62;94
63;87
60;86
10;81
64;71
65;70
67;66
66;63
70;60
71;57
69;57
9;56
8;51
68;50
74;48
77;44
72;42
75;37
73;37
76;36
81;35
78;34
79;30
80;28
6;27
82;23
5;22
83;20
7;18
90;18
84;16
88;16
86;16
92;15
87;14
93;13
89;12
97;12
85;12
91;12
104;11
96;11
95;11
100;10
106;10
102;9
111;9
101;8
94;8
98;8
99;8
103;8
118;8
108;8
109;7
116;6
112;6
137;6
117;6
138;5
131;5
129;5
126;5
125;4
122;4
146;4
132;4
4;4
107;4
121;4
120;4
128;4
110;4
169;4
328;3
203;3
113;3
119;3
135;3
105;3
256;3
159;3
173;3
190;2
332;2
260;2
148;2
262;2
156;2
411;2
167;2
231;2
352;2
246;2
255;2
179;2
304;2
326;2
154;2
588;2
145;2
202;2
398;2
163;2
433;2
144;2
606;2
178;2
362;2
524;2
160;2
133;2
136;2
123;2
139;2
183;2
290;2
115;2
257;2
142;2
303;2
253;2
157;2
239;2
149;2
1163;1
349;1
490;1
662;1
442;1
618;1
348;1
1116;1
590;1
744;1
248;1
487;1
366;1
350;1
308;1
165;1
617;1
225;1
512;1
272;1
510;1
1018;1
1484;1
825;1
267;1
667;1
361;1
388;1
273;1
559;1
244;1
283;1
493;1
1114;1
624;1
534;1
393;1
901;1
680;1
619;1
292;1
192;1
214;1
658;1
305;1
140;1
863;1
1021;1
720;1
416;1
453;1
371;1
287;1
360;1
460;1
258;1
697;1
278;1
281;1
391;1
830;1
1134;1
647;1
531;1
330;1
426;1
978;1
280;1
533;1
166;1
446;1
686;1
213;1
130;1
152;1
1245;1
309;1
595;1
217;1
318;1
501;1
486;1
613;1
372;1
243;1
237;1
608;1
527;1
195;1
199;1
314;1
341;1
247;1
911;1
781;1
170;1
477;1
492;1
485;1
297;1
381;1
235;1
785;1
274;1
339;1
174;1
568;1
141;1
127;1
176;1
3;1
124;1
204;1
944;1
147;1
412;1
1001;1
862;1
532;1
1085;1
294;1
252;1
164;1
271;1
322;1
355;1
468;1
814;1
134;1
357;1
205;1
172;1
343;1
628;1
220;1
359;1
186;1
300;1
311;1
224;1
