unique_values;counts
25;405
27;386
26;378
24;363
22;359
23;345
30;345
21;341
29;339
28;332
31;327
19;302
33;290
20;289
32;286
34;285
18;281
36;263
37;257
17;256
35;247
39;227
41;224
38;218
40;216
44;209
42;189
16;186
43;182
46;179
15;179
45;173
14;172
47;162
13;148
48;134
50;131
49;127
51;118
52;116
55;113
11;105
12;104
53;103
58;93
54;92
56;90
61;82
57;81
63;80
60;74
10;72
59;67
67;63
9;62
66;61
62;61
64;60
65;60
68;57
71;55
74;53
69;52
70;50
76;48
75;47
90;46
73;46
72;45
83;43
80;43
81;42
78;42
77;40
86;40
93;39
8;38
89;36
82;36
79;34
85;34
92;34
108;33
94;30
91;29
107;27
104;27
87;26
88;26
95;25
98;25
84;25
103;23
117;23
109;23
100;23
97;22
99;21
105;21
112;21
96;21
119;20
115;20
116;19
6;18
106;18
114;18
7;17
125;17
113;17
101;17
110;17
102;17
120;16
122;15
118;15
127;14
123;13
126;12
121;12
111;12
5;12
144;12
128;11
157;11
135;11
130;10
133;10
132;10
4;9
148;8
143;8
145;8
140;8
146;8
159;8
137;8
149;8
156;7
172;7
141;7
131;7
138;6
152;6
150;6
124;6
129;6
151;6
147;5
160;5
187;5
142;5
181;5
134;5
173;5
167;5
189;5
176;5
139;5
177;5
163;4
179;4
178;4
164;4
168;4
166;4
155;4
180;4
153;4
170;4
214;4
161;4
165;3
211;3
162;3
237;3
250;3
158;3
154;3
212;3
185;3
190;3
184;3
252;3
236;3
280;2
232;2
169;2
227;2
216;2
338;2
225;2
206;2
191;2
244;2
242;2
248;2
351;2
218;2
261;2
312;2
245;2
192;2
266;2
171;2
279;2
3;2
188;2
254;2
240;2
183;2
317;1
263;1
321;1
229;1
174;1
136;1
223;1
320;1
202;1
286;1
208;1
239;1
204;1
196;1
330;1
198;1
290;1
193;1
228;1
203;1
301;1
264;1
197;1
195;1
392;1
182;1
267;1
277;1
243;1
199;1
274;1
310;1
357;1
175;1
207;1
213;1
186;1
259;1
224;1
235;1
366;1
201;1
262;1
268;1
217;1
200;1
255;1
327;1
269;1
337;1
272;1
325;1
400;1
258;1
292;1
345;1
215;1
271;1
281;1
