unique_values;counts
31;1354
27;1266
30;1256
35;1247
32;1238
37;1224
33;1212
34;1207
36;1191
29;1165
26;1143
28;1133
39;1126
40;1105
38;1099
25;1084
41;1077
42;1051
44;1008
24;1007
43;969
45;955
22;951
23;940
21;897
47;808
46;804
48;764
49;754
20;735
52;650
50;647
51;639
19;626
53;591
17;572
18;567
55;553
54;529
57;507
56;487
58;444
16;441
61;404
59;401
60;381
62;370
15;303
63;294
64;290
65;272
66;257
68;250
12;248
13;246
69;238
67;238
14;221
71;209
72;201
73;201
70;191
74;150
75;148
77;138
76;131
78;118
80;101
81;96
11;96
82;96
79;95
84;88
83;78
85;73
10;72
88;65
86;60
89;58
87;57
90;57
95;49
92;49
96;48
7;43
94;40
93;39
91;38
97;37
8;36
102;36
99;30
101;30
9;28
100;25
103;24
98;24
105;23
107;22
106;21
109;20
113;19
104;18
121;18
111;17
110;16
116;16
108;15
120;15
5;13
132;13
117;13
112;12
126;11
123;11
115;11
114;11
130;11
127;11
129;10
133;10
122;10
143;9
119;9
118;9
125;9
4;9
140;8
138;8
139;7
6;7
131;6
149;6
135;5
134;5
163;5
151;4
145;4
160;4
128;4
158;4
179;4
124;4
162;3
167;3
173;3
170;3
141;3
154;3
2;3
147;3
195;3
161;3
197;2
172;2
150;2
199;2
144;2
189;2
212;2
168;2
137;2
159;2
205;2
3;2
203;2
146;2
176;2
194;2
221;2
358;1
265;1
202;1
645;1
564;1
255;1
157;1
155;1
273;1
232;1
243;1
191;1
284;1
308;1
142;1
177;1
262;1
156;1
215;1
171;1
192;1
304;1
277;1
404;1
166;1
213;1
472;1
208;1
244;1
269;1
190;1
248;1
188;1
165;1
164;1
153;1
180;1
169;1
178;1
216;1
327;1
196;1
360;1
136;1
298;1
256;1
329;1
174;1
187;1
184;1
152;1
