unique_values;counts
29;24828
28;24807
30;24771
27;24761
31;24321
26;23969
32;23910
25;23723
33;22710
24;22397
34;21714
23;21366
35;20596
22;20093
36;19671
37;18741
21;18672
38;17389
20;17228
39;16621
40;15745
19;15602
41;14726
42;13681
18;13420
43;12800
44;11824
17;11481
45;11181
46;10362
47;9660
16;9478
48;8872
49;8056
15;7758
50;7189
51;6525
52;6139
14;6071
53;5480
54;5201
13;4777
55;4684
56;4242
57;3953
12;3605
58;3576
59;3307
60;2986
61;2720
62;2467
11;2315
63;2315
64;2142
65;1915
66;1766
10;1663
67;1613
68;1502
69;1402
70;1221
71;1153
72;1094
73;991
9;974
74;921
75;825
76;760
77;726
78;651
79;633
8;581
80;580
81;542
82;450
83;447
84;405
85;388
87;375
86;369
88;355
7;299
91;296
89;271
93;263
90;262
92;240
6;236
96;226
95;225
94;224
97;178
98;168
100;160
99;159
102;144
101;126
104;126
103;122
106;106
107;104
105;104
109;101
111;97
113;96
108;96
110;85
5;83
4;83
112;79
115;73
118;73
114;72
117;68
120;67
121;64
116;61
123;59
125;53
122;52
127;50
124;48
119;46
135;39
128;38
134;38
126;37
133;37
132;36
129;36
137;32
136;32
130;31
140;30
131;30
139;28
143;27
138;27
145;26
141;22
3;22
142;22
148;22
154;21
157;18
150;18
147;18
149;18
146;17
144;17
152;16
160;16
161;15
151;14
153;14
162;14
158;14
155;14
170;14
189;13
190;13
168;13
159;12
172;12
164;12
156;12
173;11
182;11
174;10
166;10
184;10
165;10
188;8
175;8
191;8
204;7
183;7
167;7
200;7
220;7
171;7
169;6
179;6
178;6
181;6
211;6
217;5
177;5
195;5
210;5
218;5
198;5
208;5
232;5
186;4
202;4
290;4
180;4
219;4
193;4
201;4
185;4
197;4
194;4
176;4
163;4
199;3
263;3
226;3
302;3
268;3
259;3
227;3
271;3
255;3
230;3
229;3
240;3
192;3
225;3
196;3
214;3
223;3
321;3
209;3
203;3
231;3
205;3
236;3
325;2
246;2
251;2
266;2
235;2
248;2
367;2
299;2
228;2
352;2
307;2
244;2
295;2
320;2
387;2
215;2
221;2
270;2
272;2
187;2
597;2
522;2
247;2
222;2
262;2
250;2
213;2
323;2
379;2
348;2
212;2
207;2
274;2
239;2
249;2
216;2
1054;1
285;1
394;1
335;1
502;1
264;1
340;1
241;1
362;1
56418;1
356;1
440;1
297;1
8917;1
330;1
343;1
281;1
275;1
280;1
489;1
322;1
269;1
572;1
292;1
477;1
252;1
351;1
446;1
305;1
301;1
315;1
243;1
381;1
312;1
276;1
279;1
238;1
490;1
608;1
386;1
206;1
12306;1
309;1
529;1
291;1
288;1
395;1
417;1
377;1
538;1
287;1
261;1
448;1
26582;1
233;1
390;1
316;1
273;1
313;1
256;1
277;1
370;1
308;1
752;1
278;1
342;1
649;1
332;1
317;1
254;1
265;1
267;1
378;1
465;1
341;1
39350;1
296;1
588;1
