unique_values;counts
32;218
27;215
31;212
35;202
29;199
30;191
33;186
24;184
26;180
25;180
22;179
23;177
34;170
28;168
21;156
37;156
19;150
36;148
38;145
40;143
17;141
42;135
18;134
41;131
43;131
39;130
20;127
44;110
16;109
15;101
49;95
45;91
46;86
47;85
48;79
14;79
50;74
13;69
51;67
52;62
11;62
53;56
12;55
8;54
54;52
56;49
55;48
59;46
57;45
6;43
10;41
9;41
61;36
58;35
7;35
60;33
4;32
64;29
5;27
65;24
66;23
63;22
62;21
69;19
71;19
74;14
68;13
72;12
67;12
3;12
73;10
75;9
77;8
70;8
81;8
79;6
76;6
78;5
93;5
84;5
83;5
80;5
117;4
88;4
82;4
87;4
90;3
99;3
86;3
85;2
89;2
112;2
105;2
91;2
104;2
101;2
92;2
125;2
113;2
178;1
107;1
190;1
110;1
210;1
102;1
96;1
318;1
377;1
108;1
106;1
163;1
153;1
304;1
316;1
111;1
98;1
100;1
151;1
2;1
97;1
137;1
135;1
116;1
274;1
