unique_values;counts
26;278
25;271
28;261
27;261
22;260
21;256
23;254
20;250
29;246
32;245
24;242
30;237
31;237
19;231
18;231
34;226
33;221
35;198
17;180
36;180
16;178
37;171
39;155
38;144
14;137
40;132
15;127
42;127
41;119
13;114
44;103
12;98
43;94
45;87
46;83
47;80
48;79
11;78
49;61
50;59
51;52
10;51
52;48
54;46
56;43
53;43
9;38
55;36
59;28
58;28
8;28
61;26
64;24
57;24
60;22
65;22
7;22
63;18
66;17
62;16
6;16
67;13
69;12
72;10
78;8
68;8
80;7
83;7
84;7
70;7
77;7
73;6
82;5
74;5
76;5
71;4
75;4
85;4
5;3
4;3
79;3
96;3
104;2
101;2
112;2
113;2
146;2
94;2
89;2
98;2
286;1
118;1
145;1
95;1
92;1
123;1
109;1
90;1
129;1
141;1
105;1
122;1
230;1
100;1
87;1
116;1
81;1
232;1
165;1
115;1
106;1
3;1
103;1
99;1
203;1
211;1
88;1
