unique_values;counts
25;7498
24;7428
22;7356
23;7245
26;7209
21;7036
20;6994
27;6991
28;6648
19;6493
29;6264
18;5906
30;5828
17;5611
31;5411
16;5162
32;5077
33;4614
15;4437
34;4248
35;3964
14;3855
36;3648
37;3234
13;3204
38;2870
39;2703
12;2594
40;2340
41;2142
11;1969
42;1843
43;1700
44;1453
10;1422
45;1345
46;1130
47;1040
48;975
9;945
49;877
50;773
51;660
8;641
52;593
53;562
54;487
55;424
7;387
56;385
57;332
58;306
59;285
60;256
61;208
6;191
63;178
64;168
62;168
65;154
66;145
67;141
68;118
69;108
71;96
5;94
70;87
74;78
73;75
72;71
76;69
78;68
75;63
77;62
80;49
79;46
82;44
83;43
4;40
81;37
85;34
87;34
89;33
86;31
84;28
92;27
91;24
88;24
94;22
95;21
103;21
96;20
3;19
93;19
99;19
90;17
109;14
100;14
106;14
101;14
98;13
105;12
113;12
104;10
117;10
97;10
111;10
127;9
124;9
102;9
122;9
110;9
125;9
107;8
128;8
132;8
108;8
112;8
115;8
114;7
116;7
118;6
136;6
119;6
120;6
145;6
138;5
126;5
188;4
142;4
131;4
216;4
129;4
149;4
165;4
134;4
141;4
152;4
143;4
148;3
121;3
147;3
209;3
130;3
194;3
166;3
201;3
135;3
140;3
155;3
172;3
123;3
177;3
156;2
2;2
254;2
164;2
144;2
199;2
200;2
189;2
150;2
352;2
192;2
139;2
170;2
181;2
146;2
169;2
162;2
137;2
133;2
161;2
197;2
160;2
206;1
265;1
235;1
176;1
246;1
182;1
168;1
231;1
266;1
191;1
281;1
482;1
427;1
458;1
179;1
269;1
154;1
593;1
278;1
488;1
295;1
354;1
167;1
174;1
237;1
322;1
228;1
163;1
157;1
296;1
212;1
585;1
180;1
205;1
232;1
274;1
292;1
227;1
224;1
213;1
286;1
249;1
153;1
234;1
323;1
298;1
248;1
186;1
198;1
258;1
293;1
230;1
279;1
308;1
219;1
159;1
