unique_values;counts
31;642
28;642
29;631
30;617
26;609
34;608
27;607
36;601
32;597
25;596
33;570
35;553
24;540
38;528
23;515
37;507
21;501
39;479
40;469
20;453
22;444
42;437
41;427
43;418
19;383
44;362
45;361
47;349
46;326
18;311
17;305
48;281
16;269
49;253
50;246
52;227
51;220
15;207
53;199
54;194
57;164
55;160
14;155
56;147
58;138
59;127
61;122
13;108
60;105
63;101
62;95
65;82
12;81
66;74
64;74
68;73
67;64
11;63
69;61
71;58
70;51
74;49
77;47
75;46
76;45
73;42
10;41
72;40
9;36
8;35
80;35
79;34
81;31
86;28
83;28
82;28
87;27
88;25
90;25
92;24
85;24
7;24
89;23
95;21
84;21
91;21
94;20
78;20
99;17
93;16
98;15
100;14
103;14
96;13
109;13
102;12
105;12
4;10
122;10
111;9
114;9
104;8
107;8
125;8
116;8
97;8
101;8
108;7
6;7
119;7
120;7
127;7
124;6
106;6
126;6
136;6
5;6
115;6
137;5
131;5
138;5
110;5
117;5
112;5
139;5
123;4
142;4
130;4
121;4
161;4
135;4
133;3
172;3
113;3
118;3
2;3
128;3
132;3
143;3
190;3
188;3
144;3
140;3
159;3
166;2
180;2
158;2
173;2
209;2
145;2
152;2
179;2
162;2
187;2
185;2
149;2
163;2
155;2
147;2
192;2
224;2
151;2
141;2
182;2
134;2
3;2
157;2
218;1
195;1
223;1
160;1
177;1
222;1
326;1
216;1
198;1
556;1
170;1
236;1
338;1
335;1
208;1
215;1
220;1
168;1
358;1
204;1
213;1
734;1
186;1
243;1
174;1
278;1
171;1
153;1
264;1
225;1
202;1
165;1
439;1
129;1
199;1
178;1
156;1
237;1
230;1
288;1
287;1
405;1
191;1
