unique_values;counts
34;75
28;67
24;66
31;65
36;64
25;64
26;59
33;57
29;57
21;56
27;54
23;54
19;53
37;53
30;53
35;52
32;51
38;49
20;49
22;49
18;43
40;40
39;40
42;38
17;37
41;37
43;36
15;34
45;30
46;30
44;29
54;29
16;28
49;27
53;24
48;22
14;22
47;21
52;21
13;19
50;18
57;15
55;15
10;14
51;14
11;14
58;13
12;13
56;11
61;11
60;10
62;10
9;9
64;8
69;8
59;8
63;7
66;6
67;6
76;5
65;5
72;3
6;3
74;3
70;3
81;3
85;2
68;2
89;2
121;2
71;2
78;2
150;1
103;1
96;1
88;1
8;1
7;1
90;1
112;1
109;1
102;1
86;1
94;1
80;1
100;1
75;1
134;1
129;1
228;1
101;1
3;1
123;1
77;1
4;1
73;1
