unique_values;counts
20;67
27;61
28;61
22;61
25;52
19;52
23;51
18;47
26;47
21;47
32;45
30;44
29;43
31;43
36;42
24;41
17;40
35;38
33;36
34;32
37;30
38;28
16;27
39;25
15;25
8;24
41;23
9;22
6;21
42;21
40;20
5;20
43;20
7;20
45;19
11;19
12;17
14;17
44;17
13;16
10;14
4;13
46;12
49;11
47;10
48;8
50;8
54;7
57;7
51;7
58;6
53;5
52;5
71;5
60;4
64;4
56;4
70;3
55;3
86;2
73;2
62;2
72;2
81;2
65;2
3;2
61;2
59;2
125;2
85;2
80;2
111;2
66;2
68;1
74;1
114;1
151;1
104;1
292;1
79;1
132;1
92;1
89;1
181;1
178;1
95;1
99;1
161;1
69;1
121;1
67;1
117;1
97;1
2;1
166;1
162;1
87;1
105;1
91;1
110;1
119;1
83;1
75;1
76;1
96;1
169;1
138;1
