unique_values;counts
24;438
21;436
22;432
23;414
25;412
20;392
26;392
19;389
27;325
28;317
18;311
30;306
29;300
31;285
17;278
16;271
32;269
33;248
34;220
35;181
15;179
36;167
37;155
14;148
38;136
39;134
13;122
40;122
41;117
43;106
42;98
44;91
45;90
46;87
12;84
11;67
47;63
49;57
50;55
48;53
51;49
54;44
52;44
9;42
10;39
55;36
53;36
56;35
8;34
57;29
58;27
59;27
60;21
65;19
63;18
7;17
62;16
74;15
6;15
67;14
70;12
64;11
68;10
61;10
4;9
84;9
79;9
73;8
77;8
5;8
76;8
66;8
78;7
83;7
69;7
71;6
82;6
92;6
88;6
102;4
95;4
85;4
121;4
80;4
100;4
81;4
75;4
112;4
97;4
93;4
72;4
116;3
3;3
91;3
99;3
96;2
89;2
150;2
117;2
105;2
108;2
110;2
113;2
90;2
154;2
86;2
101;2
119;2
127;2
104;2
138;2
87;2
195;2
139;1
200;1
103;1
244;1
149;1
107;1
221;1
217;1
109;1
188;1
114;1
94;1
184;1
130;1
231;1
203;1
120;1
137;1
156;1
118;1
98;1
176;1
115;1
144;1
191;1
129;1
128;1
131;1
